Name,Location,Date_established,Year_Established,Description
Yellowstone ,Wyoming Montana Idaho,March 1 1872,1872,Situated on the Yellowstone Caldera the park has an expansive network of geothermal areas including boiling mud pots vividly colored hot springs such as Grand Prismatic Spring and regularly erupting geysers the best-known being Old Faithful. The yellow-hued Grand Canyon of the Yellowstone River contains several high waterfalls and four mountain ranges traverse the park. More than 60 mammal species including gray wolves grizzly bears black bears lynxes bison and elk make this park one of the best wildlife viewing spots in the country.[112] (WHS)[113] (BR)[114]
Sequoia ,California,September 25 1890,1890,This park protects the Giant Forest which boasts some of the world's largest trees the General Sherman being the largest measured tree in the park. Other features include over 240 caves a long segment of the Sierra Nevada including the tallest mountain in the contiguous United States and Moro Rock a large granite dome.[102] (BR)[79]
Yosemite *,California,October 1 1890,1890,Yosemite features sheer granite cliffs exceptionally tall waterfalls and old-growth forests at a unique intersection of geology and hydrology. Half Dome and El Capitan rise from the park's centerpiece the glacier-carved Yosemite Valley and from its vertical walls drop Yosemite Falls one of North America's tallest waterfalls at 2425 feet (739 m) high. Three giant sequoia groves along with a pristine wilderness in the heart of the Sierra Nevada are home to a wide variety of rare plant and animal species.[115] (WHS)[116]
Mount Rainier,Washington,March 2 1899,1899,Mount Rainier an active stratovolcano is the most prominent peak in the Cascades and is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier the largest in the contiguous United States. The mountain is popular for climbing and more than half of the park is covered by subalpine and alpine forests and meadows seasonally in bloom with wildflowers. Paradise on the south slope is the snowiest place on Earth where snowfall is measured regularly.[88] The Longmire visitor center is the start of the Wonderland Trail which encircles the mountain.[89]
Crater Lake,Oregon,22-May-02,1902,Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7700 years ago. The lake is the deepest in the United States and is noted for its vivid blue color and water clarity. Wizard Island and the Phantom Ship are more recent volcanic formations within the caldera. As the lake has no inlets or outlets the lake is replenished only by precipitation.[32]
Wind Cave,South Dakota,9-Jan-03,1903,"Wind Cave is distinctive for its calcite fin formations called boxwork a unique formation rarely found elsewhere and needle-like growths called frostwork. The cave is one of the longest and most complex caves in the world. Above ground is a mixed-grass prairie with animals such as bison black-footed ferrets and prairie dogs and ponderosa pine forests that are home to cougars and elk.[109] The cave is culturally significant to the Lakota people as the site ""from which Wakan Tanka the Great Mystery sent the buffalo out into their hunting grounds.""[110]"
Mesa Verde *,Colorado,29-Jun-06,1906,This area constitutes over 4000 archaeological sites of the Ancestral Puebloan people who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace which has 150 rooms and 23 kivas and the Balcony House with its many passages and tunnels.[86] (WHS)[87]
Glacier ,Montana,11-May-10,1910,The U.S. half of Waterton-Glacier International Peace Park this park includes 26 glaciers and 130 named lakes surrounded by Rocky Mountain peaks. There are historic hotels and a landmark road called the Going-to-the-Sun Road in this region of rapidly receding glaciers.[47] The local mountains formed by an overthrust expose Paleozoic fossils including trilobites mollusks giant ferns and dinosaurs.[48] (WHS)[49] (BR)[50]
Rocky Mountain ,Colorado,26-Jan-15,1915,Bisected north to south by the Continental Divide this portion of the Rockies has ecosystems varying from over 150 riparian lakes to montane and subalpine forests to treeless alpine tundra. Wildlife including mule deer bighorn sheep black bears and cougars inhabit its igneous mountains and glacial valleys. Longs Peak a classic Colorado fourteener and the scenic Bear Lake are popular destinations as well as the historic Trail Ridge Road which reaches an elevation of more than 12000 feet (3700 m).[99] (BR)[100]
Haleakal? ,Hawaii,1-Aug-16,1916,The Haleakal? volcano on Maui features a very large crater with numerous cinder cones Hosmer's Grove of alien trees the Kipahulu section's scenic pools of freshwater fish and the native Hawaiian goose. The park protects the greatest number of endangered species within a U.S. National Park.[63] (BR)[64]
