ParkCode,ParkName,Longitude,Latitude
ACAD,Acadia National Park,-68.24411198,44.35075139
ARCH,Arches National Park,-109.595456,38.70791763
BADL,Badlands National Park,-102.3939451,43.83406241
BIBE,Big Bend National Park,-103.2297897,29.29817767
BISC,Biscayne National Park,-80.21830159,25.46968925
BLCA,Black Canyon Of The Gunnison National Park,-107.7239802,38.57739225
BRCA,Bryce Canyon National Park,-112.1826689,37.58399144
CANY,Canyonlands National Park,-109.8831463,38.27207288
CARE,Capitol Reef National Park,-111.0032929,37.79599254
CAVE,Carlsbad Caverns National Park,-104.5277656,32.15234275
CHIS,Channel Islands National Park,-119.7251698,34.00392978
CONG,Congaree National Park,-80.81835233,33.80620431
CRLA,Crater Lake National Park,-122.1352587,42.94443605
CUVA,Cuyahoga Valley National Park,-81.56903441,41.26071336
DEVA,Death Valley National Park,-117.1351115,36.4874191
DENA,Denali National Park & Preserve,-151.0526355,63.29777436
DRTO,Dry Tortugas National Park,-82.86655423,24.65439562
EVER,Everglades National Park,-80.95349639,25.27225616
GAAR,Gates Of The Arctic National Park & Preserve,-153.2641323,67.91928544
GATE,Gateway National Recreation Area,-73.8612616,40.60261552
GLBA,Glacier Bay National Park & Preserve,-136.8407173,58.80086474
GLAC,Glacier National Park,-113.8007916,48.68426876
GRCA,Grand Canyon National Park,-112.1958633,36.18668314
GRTE,Grand Teton National Park,-110.7054666,43.81853565
GRBA,Great Basin National Park,-114.2579782,38.94617378
GRSA,Great Sand Dunes National Park & Preserve,-105.5783263,37.7599427
GRSM,Great Smoky Mountains National Park,-83.77104781,35.53381126
GUMO,Guadalupe Mountains National Park,-104.8843472,31.92338421
HALE,Haleakala National Park,-156.1470931,20.70451213
HAVO,Hawaii Volcanoes National Park,-155.2118229,19.32614216
HOSP,Hot Springs National Park,-93.08972185,34.51113823
INDU,Indiana Dunes National Lakeshore,-87.03241529,41.66145785
ISRO,Isle Royale National Park,-89.10441848,47.90083958
JOTR,Joshua Tree National Park,-116.1590708,33.98096523
KATM,Katmai National Park & Preserve,-155.0134105,58.62257397
KEFJ,Kenai Fjords National Park,-149.8815245,59.95389689
KICA,Kings Canyon National Park,-118.5938406,36.87494211
KOVA,Kobuk Valley National Park,-159.0630833,67.28263653
LACL,Lake Clark National Park & Preserve,-153.6018442,60.64679691
LAVO,Lassen Volcanic National Park,-121.4121266,40.48622026
MACA,Mammoth Cave National Park,-86.13090198,37.19760458
MEVE,Mesa Verde National Park,-108.5009289,37.22351315
MORA,Mount Rainier National Park,-121.7057451,46.8605592
NPSA,National Park of American Samoa,-169.4538076,-14.23972773
NOCA,North Cascades National Park,-121.3475578,48.83303941
OLYM,Olympic National Park,-123.6194452,47.7945352
PEFO,Petrified Forest National Park,-109.6747177,34.9886818
PINN,Pinnacles National Monument,-121.1811009,36.49013101
REDW,Redwood National and State Parks,-124.0048297,41.27702956
ROMO,Rocky Mountain National Park,-105.6983853,40.3557984
SAGU,Saguaro National Park,-110.6083141,32.17883609
SEKI,Sequoia & Kings Canyon National Parks,-118.5752011,36.50785282
SHEN,Shenandoah National Park,-78.67619963,38.28108211
THRO,Theodore Roosevelt National Park,-103.4592508,46.95362097
VIIS,Virgin Islands National Park,-64.77111049,18.35379862
VOYA,Voyageurs National Park,-92.9805713,48.51716932
WHSA,White Sands National Monument,-106.3350722,32.77913338
WICA,Wind Cave National Park,-103.4287764,43.60787178
WOTR,Wolf Trap National Park for the Performing Arts,-77.2635541,38.937932
WRST,Wrangell - St Elias National Park & Preserve,-142.6035711,61.41843938
YELL,Yellowstone National Park,-110.490083,44.58303222
YOSE,Yosemite National Park,-119.5560073,37.84893657
ZION,Zion National Park,-112.9544316,37.2557095
