,Year,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,Total,park_code
0,2019,792,3772.0,7152.0,7452.0,7772.0,3464.0,4059.0,4650.0,3933.0,6901.0,8456.0,1604.0,60007,NPSA
1,2018,4144,2308.0,2119.0,1768.0,772.0,944.0,1090.0,358.0,2303.0,4002.0,5766.0,3052.0,28626,NPSA
2,2017,4788,3817.0,4838.0,7496.0,4666.0,5180.0,6090.0,4421.0,4218.0,11494.0,7666.0,4794.0,69468,NPSA
3,2016,374,466.0,2103.0,1677.0,1855.0,1512.0,1256.0,4107.0,4876.0,2383.0,3589.0,4694.0,28892,NPSA
4,2015,1564,992.0,1530.0,1130.0,1982.0,1282.0,1272.0,1346.0,1306.0,822.0,213.0,453.0,13892,NPSA
5,2014,1178,1392.0,1480.0,2072.0,917.0,680.0,1230.0,582.0,960.0,1236.0,1222.0,1004.0,13953,NPSA
6,2013,1231,1440.0,1594.0,2026.0,1906.0,1575.0,1600.0,1193.0,2451.0,859.0,1136.0,908.0,17919,NPSA
7,2012,536,380.0,662.0,582.0,304.0,528.0,696.0,624.0,661.0,1150.0,2409.0,1908.0,10440,NPSA
8,2011,272,986.0,385.0,292.0,1090.0,324.0,742.0,432.0,2284.0,763.0,758.0,388.0,8716,NPSA
9,2010,141,135.0,181.0,276.0,510.0,291.0,183.0,101.0,79.0,217.0,401.0,491.0,3006,NPSA
10,2009,281,281.0,281.0,281.0,281.0,358.0,308.0,522.0,423.0,0.0,113.0,113.0,3242,NPSA
11,2008,259,338.0,113.0,202.0,200.0,138.0,1125.0,135.0,132.0,275.0,153.0,613.0,3683,NPSA
12,2007,674,687.0,923.0,619.0,619.0,664.0,619.0,619.0,305.0,219.0,154.0,672.0,6774,NPSA
13,2006,59,59.0,56.0,146.0,97.0,77.0,45.0,86.0,61.0,313.0,108.0,132.0,1239,NPSA
14,2003,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,NPSA
15,2002,169,113.0,135.0,168.0,157.0,312.0,164.0,161.0,193.0,90.0,138.0,138.0,1938,NPSA
16,2019,98828,102269.0,296316.0,372349.0,529553.0,594896.0,629803.0,535322.0,497443.0,429604.0,230180.0,171706.0,4488269,ZION
17,2018,107960,127790.0,373523.0,483487.0,500118.0,541464.0,500350.0,459415.0,481507.0,377826.0,218799.0,147794.0,4320033,ZION
