name,date_established,area,recreation_visitors,description,year_established,park_name
Acadia,"February 26, 1919","49,076.63 acres (198.6 km2)",3537575,"Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[12][13]",1919,Acadia
American Samoa,"October 31, 1988","8,256.67 acres (33.4 km2)",28626,"The southernmost national park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.[14]",1988,American Samoa
Arches,"November 12, 1971","76,678.98 acres (310.3 km2)",1663557,"This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch.[15] Millions of years of erosion have created these structures located in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.[16]",1971,Arches
Badlands,"November 10, 1978","242,755.94 acres (982.4 km2)",1008942,"The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils.[17] The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.[18]",1978,Badlands
Big Bend,"June 12, 1944","801,163.21 acres (3,242.2 km2)",440091,"Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[19] (BR)[20]",1944,Big Bend
Biscayne,"June 28, 1980","172,971.11 acres (700.0 km2)",469253,"Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.[21]",1980,Biscayne
Black Canyon of the Gunnison,"October 21, 1999","30,779.83 acres (124.6 km2)",308962,"The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist which appears black when in shadow.[22]",1999,Black Canyon of the Gunnison
Bryce Canyon,"February 25, 1928","35,835.08 acres (145.0 km2)",2679478,"Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[23]",1928,Bryce Canyon
Canyonlands,"September 12, 1964","337,597.83 acres (1,366.2 km2)",739449,"This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park also contains rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.[24]",1964,Canyonlands
Capitol Reef,"December 18, 1971","241,904.50 acres (979.0 km2)",1227627,"The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, cliffs, and sandstone domes shaped like the United States Capitol.[25]",1971,Capitol Reef
Carlsbad Caverns *,"May 14, 1930","46,766.45 acres (189.3 km2)",465912,"Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.[26] (WHS)[27]",1930,Carlsbad Caverns *
Channel Islands,"March 5, 1980","249,561.00 acres (1,009.9 km2)",366250,"Five of the eight Channel Islands are protected, and half of the park's area is underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, and 145 are unique to them, including the island fox. Ferry services offer transportation to the islands from the mainland.[28] (BR)[29]",1980,Channel Islands
Congaree,"November 10, 2003","26,476.47 acres (107.1 km2)",145929,"On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[30] (BR)[31]",2003,Congaree
